,BleachCleanser,GelatinBox,PottedMeatCan,MetalBowl,Spatula,Skillet,Mug,Plate,Fork,AbrasiveSponge,CrackerBox,Apple,Pitcher,ChipsCan,Pear,Banana,Knife,Peach,Spoon
AdductedThumb,0.0,0.0,0.0,0.0,0.32,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ExtensionType,0.0,0.0,0.0,0.47,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LargeDiameter,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.0
MediumWrap,0.57,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0
PowerDisk,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PowerSphere,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.0,0.0,0.39,0.0,0.0,0.69,0.0
PrecisionSphere,0.0,0.27,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Prismatic_2-finger,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.27
Prismatic_3-finger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.21
Prismatic_4-finger,0.0,0.31,0.0,0.53,0.68,0.0,0.0,0.69,0.24,1.0,0.0,0.0,0.0,0.0,0.0,0.34,0.26,0.0,0.08
Sphere_4-finger,0.43,0.0,0.6,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.42,0.46,0.0,0.58,0.61,0.0,0.0,0.31,0.0
Tripod,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.29,0.0,0.44
